# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=1#mods
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=16#mods
154924|silent_mode_-_inferno.mod|10|10
57277|simpson.xm|10|10
57279|simpsons.it|10|10
67503|sineiste.mod|10|10
153909|sine_ride.xm|10|10
67120|skogen14.mod|10|10
57494|slowstar.s3m|10|10
57525|smack.mod|10|10
54335|snowland.mod|10|10
57674|sod.xm|10|10
87829|songs_of_a_dragon.mod|10|10
57809|sonic2.mod|10|10
67653|sonic_su.mod|10|10
160174|soulsweeper_-_astral_motion.xm|10|10
57876|sourcrea.xm|10|10
91803|spacedel_short.mod|10|10
86763|spacedream-hrmx.mod|10|10
57939|spacehar.mod|10|10
173647|spatism.mod|10|10
58012|spcdebrs.mod|10|10
111892|speed_rules.mod|10|10
134189|spiritual_activity.xm|10|10
160899|spk2oo8_icemoss.xm|10|10
58452|spoo.it|10|10
164545|spx-crystalsweet.it|10|10
64956|spx-flutanavariata.it|10|10
166424|spx-shuttledeparture.it|10|10
58826|ssdragon.xm|10|10
69990|ssi-intro.s3m|10|10
59031|st3_tnm.it|10|10
170061|starpath_-_the_mars-earth_connection.xm|10|10
59485|starscrm.xm|10|10
59738|steam.xm|10|10
85199|steel_chambers_2.mod|10|10
168312|still_alive.it|10|10
135839|stimpys_camelrace.xm|10|10
154054|stoned_at_macdonalds.xm|10|10
131166|strain_6-14.mod|10|10
65928|strobeampli-chipsetsunset.xm|10|10
60814|styles.xm|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=17#mods
84012|style_blend.mod|10|10
168957|sundeli.it|10|10
61329|sunflower.xm|10|10
81032|sunset_bluesct.mod|10|10
81033|sunset_on_77.mod|10|10
54408|surrpass.s3m|10|10
61786|survive.mod|10|10
61931|sv_lsd.it|10|10
62170|swalk2.it|10|10
54420|sxtn.s3m|10|10
108441|sylvias_theme.mod|10|10
145036|synthetic_bitch.xm|10|10
154923|syphus_-_these_arent_the_droids.it|10|10
62836|sypmo1.it|10|10
58336|t1-swn2.xm|10|10
87876|t2k-ingame.mod|10|10
131525|tar-crazy_comix_ii.mod|10|10
58899|tbo_axel.xm|10|10
58926|tbo_tu.xm|10|10
60113|telecope.xm|10|10
60188|temezo.xm|10|10
156752|tf-twave.it|10|10
131760|thank_u_4_s.mod|10|10
172660|themarathon.mod|10|10
132055|theme_of_light.mod|10|10
141100|the_dreamlands.xm|10|10
133608|the_goblin_returns_-_final.it|10|10
103625|the_wanderer_2.mod|10|10
61215|the_way.it|10|10
142025|the_way_to_heaven.xm|10|10
61224|the_white_tiger.s3m|10|10
136399|thundercats_remake.xm|10|10
143280|tiara.xm|10|10
163371|tjz-shor.it|10|10
163368|tjz_-_ge.it|10|10
172689|tj_pyramid_chip.it|10|10
63611|toilet.xm|10|10
63618|toilet3.xm|10|10
63623|toilet5.xm|10|10
63665|tok_when.xm|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=18#mods
63894|tough.s3m|10|10
64003|track3.s3m|10|10
64006|track5.s3m|10|10
64180|tranze7.mod|10|10
64185|trash.mod|10|10
162488|travolta_-_supernatural.mod|10|10
64207|traxorxl-xaimus-epicrevisited.it|10|10
64218|trch-lin.it|10|10
64255|tribalda.mod|10|10
161717|twilight_de_-_cream.mod|10|10
80059|uebermuedung.mod|10|10
132563|ufo_tune.mod|10|10
58534|ultimate_seduction-3.mod|10|10
58045|undersea.xm|10|10
137925|underwater_voyage_part_2.xm|10|10
151176|universal_network_2.xm|10|10
59083|unreal1.xm|10|10
72628|unreal_-_something_part.s3m|10|10
149252|unreeeal_superhero_3.xm|10|10
59385|utend.it|10|10
59011|v-revolt.it|10|10
59425|vault.xm|10|10
104024|veiled_sky.mod|10|10
132774|velo_matrix.mod|10|10
109559|velvet_disko.mod|10|10
59558|venezia.it|10|10
59783|vibe-cc.it|10|10
59830|vibe-las.it|10|10
59886|vibe-suw.it|10|10
59931|vibe-ydb.it|10|10
115146|vipershort.mod|10|10
60215|virasat.xm|10|10
68782|virtual_humanity.xm|10|10
132838|virtual_journey.mod|10|10
144110|vision_from_paradise.xm|10|10
61265|vr_oct3.xm|10|10
61318|vr_silly.xm|10|10
59943|w-mh.it|10|10
143281|wacky_wah_wah.xm|10|10
173418|warfactoryinc.it|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=19#mods
60527|wario_is.mod|10|10
158682|warrior_x_-_thoughts.xm|10|10
70359|war_of_the_superusers_remix.s3m|10|10
155604|waylands.it|10|10
68787|weather_girl.xm|10|10
62207|welcomet.mod|10|10
88791|welcometothefuture.mod|10|10
107502|whales_forever.mod|10|10
62710|whistler_s_bride.it|10|10
133175|whoops.mod|10|10
106227|wild_impressions.mod|10|10
164007|willbe-mrslatinadancing.it|10|10
163990|willbe-timemachine-3-timemachine.it|10|10
153380|wings_of_death.xm|10|10
63546|wooasis.it|10|10
75360|world_intro2_mix.mod|10|10
88911|world_of_dreams.mod|10|10
170756|worm.xm|10|10
132971|wrfuture2-live.mod|10|10
154361|wrzesniowy_wieczor.xm|10|10
63824|wvl_trbl.xm|10|10
155367|x3_sound.it|10|10
62139|x5kng.it|10|10
136685|x97_dynamixdestiny.xm|10|10
170166|xerxes_-_meditation.xm|10|10
161726|xmas002.it|10|10
62907|xr-hsont.xm|10|10
62926|xr-melod.xm|10|10
63000|xr-toxic.xm|10|10
172268|xyce-je_suis_baguette.xm|10|10
62563|ybbanjo.s3m|10|10
62567|ybblub.s3m|10|10
148483|yendi.xm|10|10
156640|yf-sleepin.it|10|10
166647|yukatan.it|10|10
153915|zeta_force_level_2.xm|10|10
64018|znm-joy.it|10|10
64021|znm-latenight.it|10|10
64099|zorg_tatu.xm|10|10
63426|z_liberty.s3m|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=20#mods
134336|_xtremely_xecutable_.xm|10|10
# modid|filename|score|maxscore
