# artistid|name
# http://modarchive.org/index.php?request=view_artist_roster&page=1#mods
85359|Rich Weeds Nagel
82509|Rick_ff
68834|RiFFi
68959|Riffmaster
# http://modarchive.org/index.php?request=view_artist_roster&page=29#mods
69470|Rikimbo
69449|Ringmaker
68862|Rmaskell
69222|RobbFritt
82365|Robby Coker
85289|Robin
80551|Robot2037
69529|robric
68833|Robstazz
82716|rockmonitor
69568|rolemusic
69689|romeoknight
68899|ron
69184|Roni, The Tomahawk
83012|RoninMastaFX
84632|rop
69392|Roz
84008|RSE
80742|rtgf
81872|rts
69190|Rudwolf Black
69215|RUGAR
82190|ruinah
85245|ruslan404
68867|RxEx
83460|Ryan Albano
68946|Ryan Avery
69641|Ryan Cramer
81978|sacio
69087|sadseptember
69512|Saga Musix
69478|sage
68801|Sahaj Maituna
69440|SaimoQuest
69164|samos
81909|Sample Damage
69229|SaMPLeMaSTeR
68812|Sandman
82962|SandmanX2
68962|Sandro R.
# http://modarchive.org/index.php?request=view_artist_roster&page=30#mods
83009|Saphir
85331|Sathin
69556|saurin
81475|SavageBullet
80898|Saxbryn
68993|SaxxonPike (SPK) OLD
69176|SaxxonPike -SPK
68789|SB-Trance
80318|sciboy1190
69290|scoff
85206|Scott Lee
69548|Scrap Heap
68776|sculptor a.k.a sunsquid
84094|SDL
69050|seablue
83010|seduck
69642|Semtex
69281|sergeeo
68872|Sergeisergeievich
81954|Serpent
68975|seskis
84440|seymourbutts
69201|SG-5000
85173|Sgw32
68932|Sh@dow
68927|SHattY
80757|Shenlon
81003|Shinobi
81670|ShortyJRJ
69025|Short_Fuse
69288|shrapnel
82002|Shytan
80896|shyz
69561|Sidewinder
69019|Siiw
81701|Silencio
80341|Silent
81974|silize
80839|Silver Angel featuring...
69023|Silversky
# http://modarchive.org/index.php?request=view_artist_roster&page=31#mods
82128|SIM
82618|simakwm
81738|sinatra
69286|sinspin
69643|Siren
69644|Sirrus
80938|SJ_Royd
68915|skarey
69572|Skaven252
83119|skob
82144|skrebbel
