# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=1#mods
165478|khyron_-_dragon.xm|4|10
47682|kick69.xm|4|10
141512|kick_ass_first.xm|4|10
47731|killer.mod|4|10
47738|killing2.xm|4|10
47740|kilo.it|4|10
47748|kilroy3.mod|4|10
155863|kingdom.stm|4|10
47778|kingdomcome.xm|4|10
47790|kingsize.mod|4|10
47794|kinky.xm|4|10
47814|kis-sw.xm|4|10
47821|kiss.xm|4|10
47826|kissfar.xm|4|10
47957|klu_mac.xm|4|10
48032|kmdeath.it|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=10#mods
48036|kmerror.it|4|10
47063|knight.s3m|4|10
48092|knighttl.it|4|10
172808|kobe_city_-_night_-_paradise_loop.it|4|10
48155|konstig.xm|4|10
167750|kontaktproblem-firstie-revision2.xm|4|10
48158|kool_n.xm|4|10
48234|kraft.it|4|10
47256|k_locut.it|4|10
47093|k_place.s3m|4|10
47217|labouche.s3m|4|10
47247|lacrima.xm|4|10
158728|lahje_-_sinister_strike.s3m|4|10
47321|lalala.xm|4|10
47364|lamewave.mod|4|10
47376|lance.it|4|10
85227|landing-eagle.mod|4|10
47432|lands.mod|4|10
47438|landscap.xm|4|10
47395|land_of.xm|4|10
47455|larrytpo.mod|4|10
47469|last.it|4|10
47532|late-night.xm|4|10
47550|laudamst.mod|4|10
47593|lc-crist.xm|4|10
47606|lchaos.xm|4|10
111092|lemmings.mod|4|10
47913|lfs.it|4|10
48077|light.xm|4|10
48104|lightwav.xm|4|10
48188|liquid.xm|4|10
48208|lissa.it|4|10
48296|livethr.it|4|10
144218|lmx.xm|4|10
48655|loaderdude.mod|4|10
48689|lodem.xm|4|10
48867|lostinge.mod|4|10
49054|lovelttr.mod|4|10
49093|lovesong.s3m|4|10
49123|lovewi2.xm|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=11#mods
49168|lp-speed.mod|4|10
49431|luckbub.it|4|10
49595|luvliv4u.xm|4|10
48537|m2sps.s3m|4|10
48673|ma-arabian.it|4|10
48736|machine.s3m|4|10
48749|machlive.s3m|4|10
48816|madrid.xm|4|10
48838|maf-sir.xm|4|10
49206|makeyour.xm|4|10
127805|maniacs-short.mod|4|10
49371|mansion.it|4|10
49403|manwho.xm|4|10
103234|march_of_lonely_man.mod|4|10
49608|mash.mod|4|10
49636|massive.xm|4|10
49639|massmega.s3m|4|10
49736|mav-drm.it|4|10
48705|ma_drumm.xm|4|10
49834|mcbain.mod|4|10
50017|mdarkeye.it|4|10
50180|mediligh.mod|4|10
50258|megaball.mod|4|10
50312|megamix.mod|4|10
50370|megball2.mod|4|10
50711|merlin13.xm|4|10
50780|meskalin.mod|4|10
50827|metacrse.it|4|10
170177|meztli_blue_-_starflower.xm|4|10
172459|miafan2010_-_we_will_be_the_one.it|4|10
51515|micmon.xm|4|10
100286|middle_east_dance.mod|4|10
51622|mifuture.xm|4|10
51776|militant.s3m|4|10
51791|milkyways.xm|4|10
108611|millemiglia32.mod|4|10
110748|mind_control-.mod|4|10
52091|mj.it|4|10
52134|mkultra.xm|4|10
52137|mkw-ff7.xm|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=12#mods
172600|mllstar.xm|4|10
52315|moggin.it|4|10
164810|mohax_-_prodigy.mod|4|10
52357|money.mod|4|10
76604|moonshine.mod|4|10
155873|morph.stm|4|10
53299|musix-pleasant.mod|4|10
53308|musix-rubbish.mod|4|10
53952|myfridge.s3m|4|10
54162|mystwin.s3m|4|10
54180|mythica.it|4|10
70860|my_blue_sky_96.s3m|4|10
48621|m_iwmud.xm|4|10
49035|n-dancer.xm|4|10
49043|n-elfste.xm|4|10
49146|n55-end.xm|4|10
